ticker,side,rank,score
RY,LONG,1,1693.66666666667
CM,LONG,2,1682.33333333333
UBS,LONG,3,1669.66666666667
BNS,LONG,4,1669.33333333333
FER,LONG,5,1669.33333333333
TD,LONG,6,1643.66666666667
DB,LONG,7,1632.66666666667
ESS,LONG,8,1612.66666666667
KEYS,LONG,9,1611.33333333333
MT,LONG,10,1610.66666666667
EMA,LONG,11,1608.66666666667
PRU,LONG,12,1605.66666666667
WAB,LONG,13,1596.66666666667
CNO,LONG,14,1593.33333333333
FHN,LONG,15,1593
AHL,SHORT,1,130
CCC,SHORT,2,130.333333333333
Q,SHORT,3,132
RHLD,SHORT,4,142.333333333333
EMA,SHORT,5,153.666666666667
BPRE,SHORT,6,163.666666666667
ZETA,SHORT,7,165
SOLS,SHORT,8,169
LMND,SHORT,9,169.666666666667
VSCO,SHORT,10,179
CHYM,SHORT,11,180
SUNC,SHORT,12,205.333333333333
MNDY,SHORT,13,205.666666666667
XIFR,SHORT,14,207.333333333333
BRKR,SHORT,15,215.333333333333
